iter	Passed	Remaining
808	1811	391
809	1813	389
810	1815	387
811	1817	385
812	1819	382
813	1821	380
814	1823	378
815	1825	375
816	1827	373
817	1829	371
818	1831	368
819	1833	366
820	1835	364
821	1837	362
822	1840	359
823	1841	357
824	1843	355
825	1846	353
826	1848	350
827	1850	348
828	1852	346
829	1854	344
830	1856	341
831	1858	339
832	1859	337
833	1861	334
834	1863	332
835	1865	330
836	1867	328
837	1869	325
838	1871	323
839	1873	321
840	1875	318
841	1877	316
842	1879	314
843	1881	312
844	1884	309
845	1886	307
846	1888	305
847	1890	303
848	1892	301
849	1895	298
850	1897	296
851	1900	294
852	1902	292
853	1913	291
854	1917	289
855	1920	287
856	1923	285
857	1926	282
858	1929	280
859	1932	278
860	1935	276
861	1937	274
862	1939	271
863	1942	269
864	1944	267
865	1947	265
866	1949	263
867	1951	260
868	1953	258
869	1956	256
870	1958	254
871	1960	251
872	1962	249
873	1965	247
874	1967	245
875	1969	242
876	1972	240
877	1975	238
878	1976	236
879	1978	233
880	1981	231
881	1983	229
882	1986	227
883	1988	224
884	1991	222
885	1993	220
886	1996	218
887	1998	216
888	2000	213
889	2002	211
890	2005	209
891	2007	207
892	2009	204
893	2012	202
894	2014	200
895	2016	198
896	2019	195
897	2021	193
898	2023	191
899	2025	189
900	2028	186
901	2030	184
902	2032	182
903	2034	180
904	2036	177
905	2038	175
906	2040	173
907	2042	170
908	2044	168
909	2046	166
910	2048	164
911	2050	161
912	2052	159
913	2054	157
914	2056	155
915	2058	152
916	2060	150
917	2062	148
918	2064	146
919	2066	143
920	2068	141
921	2069	139
922	2071	136
923	2075	134
924	2085	132
925	2091	131
926	2096	128
927	2100	126
928	2104	124
929	2106	122
930	2108	120
931	2110	117
932	2113	115
933	2116	113
934	2119	111
935	2121	108
936	2123	106
937	2125	104
938	2127	101
939	2130	99
940	2132	97
941	2135	95
942	2137	92
943	2139	90
944	2141	88
945	2143	86
946	2145	83
947	2146	81
948	2148	79
949	2151	76
950	2153	74
951	2155	72
952	2157	70
953	2159	67
954	2161	65
955	2162	63
956	2165	61
957	2167	58
958	2170	56
959	2176	54
960	2179	52
961	2182	49
962	2184	47
963	2186	45
964	2188	43
965	2190	40
966	2192	38
967	2194	36
968	2196	34
969	2198	31
970	2200	29
971	2202	27
972	2203	24
973	2205	22
974	2207	20
975	2210	18
976	2212	15
977	2214	13
978	2215	11
979	2218	9
980	2220	6
981	2221	4
982	2223	2
983	2226	0
